Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Immune system	mmu04658	Th1 and Th2 cell differentiation - Mus musculus (house mouse)	27/2177	88/11152	0.008110245051248	0.0263772455872365	0.0147604066353259	16190/19058/19664/12399/16453/18036/15002/16159/13388/26416/433586/14961/18035/14998/26413/29857/15979/19056/103806/20846/19055/26419/20851/26420/14281/16450/16151	27
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: overview	mmu05235	PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse)	27/2177	88/11152	0.008110245051248	0.0263772455872365	0.0147604066353259	13001/19058/18036/26396/26416/18709/18035/19211/26413/29857/15979/56717/19056/11652/18707/20846/26397/19055/17874/12995/26399/19247/18708/14281/58988/117149/16151	27
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: overview	mmu05203	Viral carcinogenesis - Mus musculus (house mouse)	59/2177	226/11152	0.00893201985162646	0.0287809528552408	0.0161054938845116	19385/235459/18747/18746/11911/17246/60595/54131/19664/22335/109711/22215/237336/17000/14972/16453/22631/13194/83945/69116/11848/15387/18034/12028/433759/15451/18749/19696/18709/12445/18035/12567/83602/14963/107932/26413/14885/208727/12912/18707/15184/56463/105782/12540/22627/12015/70315/19303/17164/20851/16195/22030/18708/12914/19353/12915/23894/16151/14964	59
diffbind__all_peaks.TG.vs.WT	NA	NA	mmu04980	Cobalamin transport and metabolism - Mus musculus (house mouse)	8/2177	17/11152	0.00937146983101754	0.0299199220293037	0.0167428480805239	224656/109129/109136/77697/20841/210009/68421/17850	8
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Endocrine system	mmu03320	PPAR signaling pathway - Mus musculus (house mouse)	27/2177	89/11152	0.00952796692535148	0.0301430226365665	0.0168676926429667	208715/18607/80911/19015/13167/20183/22190/20181/19013/16592/26569/74147/11364/26457/12896/11430/14077/20249/22259/20280/12894/11363/17436/14081/50790/14933/20411	27
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Excretory system	mmu04961	Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse)	20/2177	61/11152	0.00976749019057775	0.0306224016785681	0.017135947702768	18747/11772/11771/13430/11515/18750/53869/20541/232910/18798/67972/18797/14682/18749/67300/11933/13429/11773/14683/11928	20
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04371	Apelin signaling pathway - Mus musculus (house mouse)	39/2177	140/11152	0.010346797738753	0.0321489786882682	0.0179902028352378	18747/241113/17532/11515/228785/16438/20190/20541/17897/18798/18797/26396/16890/14679/14682/18749/16439/21812/56208/66734/26413/17126/208727/56717/21780/11652/12313/15184/14701/12315/14697/20544/13653/18125/75669/18787/108097/58988/56632	39
diffbind__all_peaks.TG.vs.WT	Human Diseases	Endocrine and metabolic disease	mmu04934	Cushing syndrome - Mus musculus (house mouse)	44/2177	162/11152	0.0108676133287227	0.0334684021096945	0.0187285371757214	214162/13542/18747/21416/11911/11515/15370/215449/16438/11632/108058/13555/18798/18584/56637/18514/14672/23805/18797/26396/11789/22409/14679/14682/18749/16439/16835/12567/26413/14367/13544/69544/22411/12912/20683/12322/13557/84092/14194/12323/109305/14683/12915/22420	44
diffbind__all_peaks.TG.vs.WT	Human Diseases	Infectious disease: bacterial	mmu05152	Tuberculosis - Mus musculus (house mouse)	48/2177	180/11152	0.0115209213474635	0.0351691283238361	0.0196802442223523	15510/19058/16706/108960/16783/16803/19349/15002/108058/18044/16159/11848/21803/26416/12371/12028/14961/114143/14082/13033/16985/12611/69632/14998/26413/240354/29857/17534/15979/19056/11652/12912/20846/12313/19055/17874/12795/26419/12322/12315/12015/21871/18046/12914/26420/12323/117149/56632	48
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Cell motility	mmu04814	Motor proteins - Mus musculus (house mouse)	52/2177	198/11152	0.0119808529360085	0.0361512602001072	0.0202298340502717	74376/22004/17919/16554/53857/56427/67268/17897/109242/13191/21648/54152/77579/270163/17913/16570/17901/12345/17920/100502766/16561/16553/235661/227613/16558/71960/286942/208943/67951/17886/75050/11459/105000/16581/21957/320191/21953/216459/103733/54130/11461/22146/16579/17925/16551/67117/226977/12343/360013/22003/68097/17907	52
diffbind__all_peaks.TG.vs.WT	Human Diseases	Infectious disease: parasitic	mmu05142	Chagas disease - Mus musculus (house mouse)	30/2177	103/11152	0.0120504200667024	0.0361512602001072	0.0202298340502717	71978/16159/18798/21803/14672/18797/26416/14082/14679/14682/21812/18709/18035/12317/26413/17126/29857/15979/52432/11652/18707/17874/26419/21813/18708/26420/18787/14683/14281/16151	30
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Endocrine system	mmu04928	Parathyroid hormone synthesis, secretion and action - Mus musculus (house mouse)	33/2177	116/11152	0.012648699495239	0.037621772857634	0.0210527162088999	17938/20497/18747/11911/20183/11515/18750/20181/16438/108737/20393/18577/11848/18798/238871/14672/18797/14679/14682/18749/16439/16974/75607/26413/232341/12912/20683/16478/16973/13653/14683/14281/12915	33
diffbind__all_peaks.TG.vs.WT	Metabolism	Metabolism of cofactors and vitamins	mmu00760	Nicotinate and nicotinamide metabolism - Mus musculus (house mouse)	15/2177	43/11152	0.013028033226236	0.0384216573112723	0.0215003224518614	18113/103850/74080/67993/18605/59027/68646/67725/78914/225994/18115/192185/68346/75387/69564	15
diffbind__all_peaks.TG.vs.WT	Genetic Information Processing	Folding, sorting and degradation	mmu03018	RNA degradation - Mus musculus (house mouse)	25/2177	83/11152	0.0135049930828607	0.0394935932171052	0.0221001655933589	72068/15510/103135/225929/69125/74108/109075/18642/234699/70640/13808/230721/319885/67207/75686/22057/13806/69639/72198/57259/50783/18458/319618/78893/108077	25
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Cell growth and death	mmu04215	Apoptosis - multiple species - Mus musculus (house mouse)	12/2177	32/11152	0.0137435888196214	0.039856407576902	0.0223031923827189	12048/11797/11796/12371/11799/12028/12125/14082/56208/12211/26419/26420	12
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Digestive system	mmu04971	Gastric acid secretion - Mus musculus (house mouse)	23/2177	75/11152	0.0139317453435097	0.0400681601614989	0.022421686720742	18747/16518/11515/18750/228785/16438/108058/18798/18797/14679/14682/18749/16439/20535/12313/12322/11933/12315/11461/20544/12323/14683/11928	23
diffbind__all_peaks.TG.vs.WT	Human Diseases	Infectious disease: viral	mmu05163	Human cytomegalovirus infection - Mus musculus (house mouse)	64/2177	254/11152	0.0148228275820521	0.0422815081848699	0.0236602511016362	18747/11911/19058/17246/54131/11515/18750/14827/16438/14972/20315/11848/13555/18798/56637/14672/18797/26396/26416/12371/19877/22339/12028/14082/14679/14682/18749/16439/22084/18709/18035/69632/19766/12567/12317/14963/26413/29857/56717/19056/11652/20662/12912/18707/12313/20683/19055/13557/14701/21356/12315/14697/19303/26399/22030/18708/19353/14683/58988/12915/19878/13685/16151/14964	64
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Immune system	mmu04659	Th17 cell differentiation - Mus musculus (house mouse)	30/2177	105/11152	0.0158702586928104	0.0448423992027837	0.0250932965895795	16190/19058/20183/19883/20181/16453/18036/15002/21803/26416/14961/21812/18035/14998/26413/17126/29857/15979/56717/19056/20846/19055/26419/15519/21813/20851/16195/26420/14281/16151	30
diffbind__all_peaks.TG.vs.WT	Human Diseases	Drug resistance: antineoplastic	mmu01521	EGFR tyrosine kinase inhibitor resistance - Mus musculus (house mouse)	24/2177	80/11152	0.0160847681183162	0.0448423992027837	0.0250932965895795	234779/18750/12048/18590/13684/56637/26396/22339/12028/12125/56484/18709/19211/17295/26413/56717/11652/20662/18707/12015/18708/14388/58988/13685	24
diffbind__all_peaks.TG.vs.WT	Genetic Information Processing	Transcription	mmu03022	Basal transcription factors - Mus musculus (house mouse)	15/2177	44/11152	0.0162847630244743	0.0448423992027837	0.0250932965895795	235459/270627/237336/319944/12572/83602/14885/63856/225895/14886/98053/68776/66671/13871/23894	15
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04668	TNF signaling pathway - Mus musculus (house mouse)	33/2177	118/11152	0.0163486685661283	0.0448423992027837	0.0250932965895795	11911/11797/74006/53859/74256/11796/26416/26409/14082/18709/18035/19766/26413/66513/29857/26400/11652/12912/18707/16477/26397/26419/73086/26399/16168/22030/18708/69601/26420/14281/12915/217344/16151	33
diffbind__all_peaks.TG.vs.WT	Human Diseases	Endocrine and metabolic disease	mmu04933	AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)	29/2177	101/11152	0.0163648985596366	0.0448423992027837	0.0250932965895795	234779/18750/18798/21803/18797/26416/22339/12028/21812/18709/12567/26413/17126/29857/72469/11652/18707/20846/18712/13367/26419/12540/21813/20851/18708/13653/26420/19353/18787	29
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05218	Melanoma - Mus musculus (house mouse)	22/2177	72/11152	0.0166433701955684	0.0452491627192015	0.0253209168271394	14177/17246/107986/18590/13555/14164/26396/13197/12028/18709/12567/19211/17295/26413/17873/11652/18707/13557/14172/12015/23882/18708	22
diffbind__all_peaks.TG.vs.WT	Genetic Information Processing	Replication and repair	mmu03460	Fanconi anemia pathway - Mus musculus (house mouse)	17/2177	52/11152	0.01695172264614	0.0457028681526527	0.0255748052275885	17350/12190/68275/19891/235610/237211/80905/71711/21975/21976/230484/19714/69928/56210/15205/14088/223970	17
diffbind__all_peaks.TG.vs.WT	Metabolism	Lipid metabolism	mmu00600	Sphingolipid metabolism - Mus musculus (house mouse)	18/2177	56/11152	0.0170729105167956	0.0457028681526527	0.0255748052275885	67630/223753/19156/22234/76943/50877/19012/230101/208449/58994/76893/11886/20597/268656/18010/15212/56336/56632	18
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Endocrine system	mmu04914	Progesterone-mediated oocyte maturation - Mus musculus (house mouse)	27/2177	93/11152	0.0173468543898236	0.0460817200584628	0.0257868064452983	75430/52717/18747/11515/217232/26416/20868/56317/14679/18749/18709/26413/29857/268697/12530/11652/18707/99152/56371/52206/26419/69957/59008/15519/18708/26420/68999	27
diffbind__all_peaks.TG.vs.WT	Metabolism	Carbohydrate metabolism	mmu00051	Fructose and mannose metabolism - Mus musculus (house mouse)	13/2177	37/11152	0.0188961958757586	0.0492264349318024	0.0275465531227569	18642/16548/11674/54128/270198/21991/29858/22122/14187/331026/11677/18640/79459	13
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05216	Thyroid cancer - Mus musculus (house mouse)	13/2177	37/11152	0.0188961958757586	0.0492264349318024	0.0275465531227569	21416/20183/107986/21787/20181/108989/26396/13197/12028/76551/26413/17873/23882	13
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Nervous system	mmu04723	Retrograde endocannabinoid signaling - Mus musculus (house mouse)	41/2177	154/11152	0.0189550065541998	0.0492264349318024	0.0275465531227569	407785/225887/66916/17991/18747/17995/11515/18750/68342/16438/67264/69875/68198/68194/18798/230075/18797/66082/26416/14679/14682/18749/16439/407790/70316/67273/26413/29857/231871/66046/242864/68202/26419/14701/14697/66108/226646/68197/66495/26420/66414	41
