Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Endocrine system	mmu04922	Glucagon signaling pathway - Mus musculus (house mouse)	43/2177	104/11152	2.37081566138e-07	3.58714717460973e-06	2.00732676135148e-06	107476/18747/18746/68401/11911/241113/104570/19058/18642/14936/56012/16438/19013/108058/18798/100705/18797/15469/14682/18749/16439/17691/68734/235344/56420/19056/11652/12912/68961/12313/20525/68263/19055/12322/12315/74343/12894/19309/18682/12914/12323/14683/108097	43
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05212	Pancreatic cancer - Mus musculus (house mouse)	34/2177	76/11152	4.72568111333526e-07	6.85223761433613e-06	3.83443423669747e-06	56044/19765/107986/12190/73341/12048/13555/21803/13197/12371/22339/12028/21812/18709/12567/26413/17126/17873/56717/19730/11652/18707/20846/26419/13557/12540/12015/23882/21813/18708/26420/19353/58988/16151	34
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Nervous system	mmu04722	Neurotrophin signaling pathway - Mus musculus (house mouse)	47/2177	121/11152	6.03779255126122e-07	8.40460723135562e-06	4.70312261887716e-06	18607/11911/234779/327826/108960/72843/23938/215449/18036/108058/11848/56637/26396/19164/26416/107746/23921/12028/56484/18709/18035/26413/29857/26400/16367/11652/20662/16923/18707/12313/192662/26419/12322/12315/12540/22627/78405/12015/73086/17164/19247/18708/11350/26420/12323/19353/14388	47
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04150	mTOR signaling pathway - Mus musculus (house mouse)	57/2177	158/11152	7.33570669295528e-07	9.81856126595553e-06	5.49435521537137e-06	20869/13542/18607/67605/227743/56430/80909/109270/18750/14245/75705/11973/20393/72124/13684/11848/74747/29869/56032/56637/26396/268706/216742/68576/22409/66144/56692/56716/22084/16974/18709/19211/26413/66508/14367/13544/110379/56717/22411/16367/11652/20662/18707/83409/252875/227154/16973/78757/18708/66335/67046/16337/58988/13685/66290/22420/52187	57
diffbind__all_peaks.TG.vs.WT	Human Diseases	Cancer: specific types	mmu05210	Colorectal cancer - Mus musculus (house mouse)	37/2177	88/11152	9.90845619892585e-07	1.27708991008378e-05	7.14644989006348e-06	56044/21416/107986/17350/11848/17685/21803/56637/23805/26396/11789/13197/12371/11799/12028/12125/21812/18709/26413/17126/17873/56717/19730/11652/20662/18707/72993/26419/12015/23882/21813/18708/26420/19353/14281/58988/17686	37
diffbind__all_peaks.TG.vs.WT	Metabolism	Global and overview maps	mmu01200	Carbon metabolism - Mus musculus (house mouse)	47/2177	123/11152	1.05083135368625e-06	1.3060332538672e-05	7.30841355007354e-06	110821/66925/18746/14751/80911/68133/100198/14433/235582/19895/20916/18642/11532/56012/11429/13808/11674/14718/76282/18563/235339/21991/93747/11409/18293/15929/67680/15926/170718/67834/100678/13806/11430/78920/68263/18655/66171/66945/108682/104776/21881/227095/17436/14194/20917/79459/17850	47
diffbind__all_peaks.TG.vs.WT	Environmental Information Processing	Signal transduction	mmu04152	AMPK signaling pathway - Mus musculus (house mouse)	48/2177	127/11152	1.17383871458603e-06	1.40274884709648e-05	7.84962301006805e-06	19054/107476/20869/68401/19325/18607/13631/241113/67605/71978/18642/14936/59032/19326/68365/56690/270198/100705/16890/72674/26409/20787/56484/26932/22084/18709/52432/56717/16367/18640/20528/11652/12912/18707/59021/20249/17274/74343/225849/12894/68465/227154/13629/18708/16337/108097/58988/13685	48
diffbind__all_peaks.TG.vs.WT	NA	NA	mmu04820	Cytoskeleton in muscle cells - Mus musculus (house mouse)	76/2177	233/11152	1.20926624749697e-06	1.40274884709648e-05	7.84962301006805e-06	22379/17930/11735/16420/433766/71409/11717/53311/22004/18810/70435/22138/170947/373864/20648/17929/13808/21894/212073/17897/11474/74122/56376/24051/21393/77579/223697/77053/21916/16906/380698/17901/67451/12345/50875/78321/14201/71960/13806/58522/22793/17886/11459/21957/13346/68794/21953/67399/70549/12715/24131/13367/11933/16404/15530/68802/59011/241431/11461/16412/118449/100504518/16480/20971/20740/233199/13138/12343/109676/22003/208846/242702/17907/11928/50874/98386	76
diffbind__all_peaks.TG.vs.WT	Organismal Systems	Endocrine system	mmu04910	Insulin signaling pathway - Mus musculus (house mouse)	51/2177	140/11152	1.99168117428064e-06	2.23582273757955e-05	1.25114097535456e-05	107476/18747/68401/18607/241113/14936/14252/13684/56637/17347/100705/26396/16890/107746/23921/19046/20787/19087/18749/22084/208650/19045/18709/26413/56717/16367/20528/11652/20662/18707/105651/68961/12313/106628/26419/19047/12315/16332/12015/216233/19085/18708/19309/18682/16337/26420/108097/58988/12402/13685/20411	51
diffbind__all_peaks.TG.vs.WT	Cellular Processes	Cellular community - eukaryotes	mmu04530	Tight junction - Mus musculus (house mouse)	58/2177	169/11152	3.73051172689145e-06	4.05693150299445e-05	2.27021272853591e-05	20869/18747/104027/241113/434204/72065/21844/60595/56173/109711/76709/64945/71978/102098/53857/67268/11848/23828/18016/68188/16897/74117/22323/83814/68328/77579/66713/19877/16800/93742/18749/12567/74192/71960/52432/26400/17886/15163/216459/26419/105782/17274/12540/17999/11461/22146/53310/16412/56332/26420/19353/74094/15525/21873/108097/19878/70497/18538	58
